day,month_str,source,location,proven_false,type,url
,2002-08,nadmo,,0,,
,2003-09,nadmo,,0,,
,2004-07,nadmo,,0,,
,2005-07,nadmo,,0,,
,2006-09,nadmo,,0,,
,2007-07,nadmo,,0,,
,2008-08,nadmo,,0,,
5,2008-09,me,,0,,Nortsu thesis pg 30
,2009-09,nadmo,,0,,
,2010-05,me,,1,,https://www.modernghana.com/blogs/276334/tidal-waves-hit-communities-in-keta-district.html
,2010-08,nadmo,,0,,
,2011-07,nadmo,,0,,
,2012-06,nadmo,,0,,
,2013-07,nadmo,,0,,
,2014-08,nadmo,,0,,
,2015-06,me,"Keta, Dzita, Fuveme",1,,https://citinewsroom.com/2021/11/history-causes-and-government-interventions-of-tidal-waves-in-keta-article
,2015-09,nadmo,,0,,
24,2016-04,me,,0,,https://www.pulse.com.gh/articles/sea-defence-project-strong-waves-in-keta-hundreds-displaced-2024080300213925368
,2016-06,me," Fuveme, Kporkporgbor, Whuti, Srogboe, Dzita and Agbledomi",1,,https://citinewsroom.com/2021/11/history-causes-and-government-interventions-of-tidal-waves-in-keta-article
,2016-08,nadmo,,0,,
,2017-09,nadmo,,0,,
16,2018-04,me,Fuveme,0,,https://citinewsroom.com/2018/04/tidal-waves-displace-residents-of-fuveme-photos/
25,2018-09,nadmo,Fuveme,0,,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Tidal-waves-swallow-Fuveme-687963 | https://www.primenewsghana.com/general-news/keta-floods-displace-over-5-000.html
,2019-08,nadmo,,0,,
,2020-10,nadmo,,0,,
,2021-03,me,,1,,https://www.adomonline.com/scores-displaced-as-another-tidal-waves-hit-keta/
,2021-05,me,Fuveme,1,breach event,Ekumah thesis page 22; https://thefourthestategh.com/2021/10/the-school-bracing-for-a-second-disappearance-under-the-sea/
7,2021-11,nadmo,,0,,https://wanep.org/wanep/news-quick-update-tidal-waves-in-keta-district-in-the-volta-region-over-3000-people-rendered-homeless-november-7-2021/;https://www.adomonline.com/scores-displaced-as-another-tidal-waves-hit-keta/;https://www.france24.com/en/live-news/20211110-almost-4-000-people-displaced-by-tidal-surge-in-ghana
,2022-03,me,,33453,,https://www.gbcghanaonline.com/general/239755/2022/
,2022-04,me,Agavedzi,1,,https://citinewsroom.com/2022/04/tidal-waves-hit-again-many-rendered-homeless-at-agavedzi-akplabanya/
6,2022-11,nadmo,,1,lagoon,https://ketama.gov.gh/2022/11/06/the-keta-lagoon-rose-up-and-overflowed-it-boundaries/
,2023-03,nadmo,,1,,
,2023-06,me,,1,,https://floodlist.com/africa/ghana-floods-june-2023 | https://www.modernghana.com/news/1237470/keta-heavy-downpour-displaced-hundreds-flood.html
19,2023-09,nadmo,"Aborigines Hotel, Jerekope, Kedzikope, Abutiakope, and Tameklobome.",0,,https://www.adomonline.com/scores-displaced-as-another-tidal-waves-hit-keta/;https://ghanaiantimes.com.gh/hundreds-displaced-by-tidal-waves-at-keta-anloga/; https://www.youtube.com/watch?v=lK-mzb76fno&ab_channel=AdomTV
16,2024-02,me,keta,1,false report,https://citinewsroom.com/2024/02/several-properties-destroyed-by-tidal-waves-in-keta/;https://www.myjoyonline.com/reports-of-fresh-tidal-waves-hitting-keta-inaccurate-mce/;https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Another-tidal-surge-displaces-hundreds-at-Keta-1917327
15,2024-10,nadmo,,0,,https://www.tiktok.com/@jubilee_radio/video/7426438281916714246;https://www.facebook.com/jubileeradio.net/videos/abutiakope-and-kedzikope-in-the-keta-municipality-and-its-environs-have-been-hit/532142906187156/
